22,21,1,167,前二直选,QZX2,ZX2,0,0,ssc_q2zhixuan,a:5:{s:13:"startposition";i:0;s:9:"codecount";i:2;s:5:"issum";i:0;s:8:"tagcheck";s:10:"n2_zhixuan";s:8:"tagbonus";s:9:"n2_common";},"initNumberTypeTwoZhiXuanLock,1",YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,1,a:3:{i:1;a:3:{s:5:"count";s:2:"10";s:4:"name";s:82:"一等奖:所选号码与开奖号码的前二位数字全部相同且顺序一致";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},二码_前二直选,0,1,lock_cqssc_qerma,0.00,2000.00,"1,2,3",0,NULL,1
24,21,1,167,后二直选,HZX2,ZX2,0,0,ssc_h2zhixuan,a:5:{s:13:"startposition";i:3;s:9:"codecount";i:2;s:5:"issum";i:0;s:8:"tagcheck";s:10:"n2_zhixuan";s:8:"tagbonus";s:9:"n2_common";},"initNumberTypeTwoZhiXuanLock,2",YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,1,a:3:{i:1;a:3:{s:5:"count";s:2:"10";s:4:"name";s:82:"一等奖:所选号码与开奖号码的后二位数字全部相同且顺序一致";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},二码_后二直选,0,1,lock_cqssc_herma,0.00,2000.00,"1,2,3",0,NULL,1
25,0,1,167,二星组选,,,0,0,,,,NULL,0,1,a:3:{i:1;a:3:{s:5:"count";s:2:"20";s:4:"name";s:0:"";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},,0,1,,0.00,2000.00,,0,NULL,1
26,25,1,167,前二组选,QZU2,ZU2,0,0,ssc_q2zuxuan,a:5:{s:13:"startposition";i:0;s:9:"codecount";i:2;s:5:"issum";i:0;s:8:"tagcheck";s:9:"n2_zuxuan";s:8:"tagbonus";s:9:"n2_common";},,YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,1,a:3:{i:1;a:3:{s:5:"count";s:2:"20";s:4:"name";s:82:"一等奖:所选号码与开奖号码的前二位数字全部相同，顺序不限";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},二码_前二组选,0,1,lock_cqssc_qerma,0.00,2000.00,"1,2,3",0,NULL,1
28,25,1,167,后二组选,HZU2,ZU2,0,0,ssc_h2zuxuan,a:5:{s:13:"startposition";i:3;s:9:"codecount";i:2;s:5:"issum";i:0;s:8:"tagcheck";s:9:"n2_zuxuan";s:8:"tagbonus";s:9:"n2_common";},,YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,1,a:3:{i:1;a:3:{s:5:"count";s:2:"20";s:4:"name";s:82:"一等奖:所选号码与开奖号码的后二位数字全部相同，顺序不限";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},二码_后二组选,0,1,lock_cqssc_herma,0.00,2000.00,"1,2,3",0,NULL,1
29,0,1,168,定位胆,,,0,0,,,,NULL,0,1,a:3:{i:1;a:3:{s:5:"count";s:3:"100";s:4:"name";s:0:"";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},,0,1,,0.00,2000.00,,0,NULL,1
30,29,1,168,万位,DWD,DWD,0,0,ssc_wanwei,a:5:{s:13:"startposition";i:0;s:9:"codecount";i:1;s:5:"issum";i:0;s:8:"tagcheck";s:6:"n1_dan";s:8:"tagbonus";s:10:"n1_dingwei";},"initNumberTypeYiWeiLock,1",YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,1,a:3:{i:1;a:3:{s:5:"count";s:3:"100";s:4:"name";s:58:"一等奖:所选号码与开奖号码相同且顺序一致";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},定位胆_万位,0,1,lock_cqssc_dingwanwei,0.00,2000.00,"1,2,3",0,NULL,1
31,29,1,168,千位,DWD,DWD,0,0,ssc_qianwei,a:5:{s:13:"startposition";i:1;s:9:"codecount";i:1;s:5:"issum";i:0;s:8:"tagcheck";s:6:"n1_dan";s:8:"tagbonus";s:10:"n1_dingwei";},"initNumberTypeYiWeiLock,2",YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,1,a:3:{i:1;a:3:{s:5:"count";s:3:"100";s:4:"name";s:58:"一等奖:所选号码与开奖号码相同且顺序一致";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},定位胆_千位,0,1,lock_cqssc_dingqianwei,0.00,2000.00,"1,2,3",0,NULL,1
32,29,1,168,百位,DWD,DWD,0,0,ssc_baiwei,a:5:{s:13:"startposition";i:2;s:9:"codecount";i:1;s:5:"issum";i:0;s:8:"tagcheck";s:6:"n1_dan";s:8:"tagbonus";s:10:"n1_dingwei";},"initNumberTypeYiWeiLock,3",YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,1,a:3:{i:1;a:3:{s:5:"count";s:3:"100";s:4:"name";s:58:"一等奖:所选号码与开奖号码相同且顺序一致";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},定位胆_百位,0,1,lock_cqssc_dingbaiwei,0.00,2000.00,"1,2,3",0,NULL,1
33,29,1,168,十位,DWD,DWD,0,0,ssc_shiwei,a:5:{s:13:"startposition";i:3;s:9:"codecount";i:1;s:5:"issum";i:0;s:8:"tagcheck";s:6:"n1_dan";s:8:"tagbonus";s:10:"n1_dingwei";},"initNumberTypeYiWeiLock,4",YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,1,a:3:{i:1;a:3:{s:5:"count";s:3:"100";s:4:"name";s:58:"一等奖:所选号码与开奖号码相同且顺序一致";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},定位胆_十位,0,1,lock_cqssc_dingshiwei,0.00,2000.00,"1,2,3",0,NULL,1
